traffic_control_type,visibility,light,road_surface_condition,classification_of_accident,injury,driver_condition,speeding,aggressive_and_disturbed_driving,alcohol,disability
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Wet,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Wet,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Wet,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Daylight,Wet,Non-Fatal Injury,None,None,None,None,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Fatal,Fatal,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Fatal,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Fatal,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Fatal,None,Inattentive,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Inattentive,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Medical or Physical Disability,None,None,None,Yes
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,Inattentive,None,None,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None,None,None
Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Controller,Clear,"Daylight, artificial",Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Controller,Clear,"Daylight, artificial",Dry,Non-Fatal Injury,Major,Normal,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Minor,Normal,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,None,Unknown,Yes,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,Fatal,None,Yes,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Unknown,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,None,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,Fatal,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,"Ability Impaired, Drugs",None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,Fatal,Unknown,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,None,Unknown,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Inattentive,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Medical or Physical Disability,None,None,None,Yes
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,Yes
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Unknown,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Major,Inattentive,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Minor,Normal,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,Normal,Yes,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,Yes,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,Normal,Yes,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,None,None,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,None,None,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Inattentive,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Major,Normal,Yes,Yes,None,None
Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,None,Normal,Yes,Yes,None,None
Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,Major,Inattentive,None,Yes,None,None
Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,Minimal,Normal,None,Yes,None,None
Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,Minimal,Normal,None,Yes,None,None
Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,Minor,None,None,Yes,None,None
Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,None,None,None,Yes,None,None
Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,None,"Ability Impaired, Alcohol Over .08",None,Yes,Yes,None
Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Major,None,None,Yes,Yes,None
Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,None,Unknown,Yes,Yes,None,None
Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Major,None,Yes,Yes,None,None
Traffic Signal,Rain,Daylight,Wet,Fatal,None,Normal,None,None,None,None
Traffic Signal,Rain,Daylight,Wet,Fatal,Fatal,None,None,None,None,None
Traffic Signal,Clear,"Daylight, artificial",Dry,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
Traffic Signal,Clear,"Daylight, artificial",Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,"Daylight, artificial",Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Controller,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Inattentive,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Fatal,Minor,"Ability Impaired, Drugs",Yes,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Fatal,None,Normal,Yes,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Fatal,Minor,Normal,Yes,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Fatal,Fatal,None,Yes,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Minimal,"Ability Impaired, Alcohol",None,None,Yes,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,None,Yes,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Minor,None,None,None,Yes,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,Yes,Yes,None,None
No Control,Clear,"Daylight, artificial",Wet,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,"Daylight, artificial",Wet,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,"Daylight, artificial",Wet,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Unknown,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Fatigue,Yes,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,Normal,Yes,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,Yes,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Minor,None,Yes,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Unknown,Yes,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Unknown,Yes,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Minor,None,Yes,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,Yes,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Stop Sign,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,Normal,None,None,None,None
Stop Sign,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Stop Sign,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,None,None,None,None,None
Stop Sign,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Minor,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Unknown,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,None,None,None
Pedestrian Crossover,Clear,Daylight,Dry,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
Pedestrian Crossover,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,"Dawn, artificial",Dry,Non-Fatal Injury,Major,Medical or Physical Disability,Yes,Yes,None,Yes
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minor,Normal,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,"Dark, artificial",Wet,Fatal,Fatal,Unknown,Yes,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Fatal,None,Unknown,None,Yes,None,None
Traffic Signal,Clear,Dark,Dry,Fatal,Fatal,None,None,Yes,None,None
No Control,Rain,"Daylight, artificial",Wet,Non-Fatal Injury,None,Normal,None,Yes,None,None
No Control,Rain,"Daylight, artificial",Wet,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Unknown,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Fatal,Fatal,Unknown,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Inattentive,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minor,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,None,Inattentive,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,Fatal,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,Inattentive,Yes,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,None,Yes,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Inattentive,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,None,None,None,None,None
Stop Sign,Clear,Daylight,Dry,Fatal,None,Normal,None,None,None,None
Stop Sign,Clear,Daylight,Dry,Fatal,Fatal,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minor,Normal,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,None,None,None
No Control,Rain,"Dark, artificial",Wet,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Rain,"Dark, artificial",Wet,Non-Fatal Injury,None,None,None,None,None,None
No Control,Rain,"Dark, artificial",Wet,Non-Fatal Injury,None,None,None,None,None,None
No Control,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Dark,Dry,Fatal,None,Normal,None,None,None,None
No Control,Clear,Dark,Dry,Fatal,None,Normal,None,None,None,None
No Control,Clear,Dark,Dry,Fatal,Fatal,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Inattentive,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,Fatal,Unknown,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Fatal,None,Unknown,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minor,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,Unknown,Yes,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Minor,Normal,Yes,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,Yes,Yes,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,Inattentive,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,Yes,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Dark,Dry,Non-Fatal Injury,None,Unknown,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Inattentive,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,Inattentive,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Medical or Physical Disability,None,None,None,Yes
Stop Sign,Clear,Daylight,Dry,Fatal,Fatal,Inattentive,None,None,None,None
Stop Sign,Clear,Daylight,Dry,Fatal,None,Normal,None,None,None,None
Stop Sign,Clear,Daylight,Dry,Fatal,None,None,None,None,None,None
No Control,Clear,Daylight,Wet,Non-Fatal Injury,Major,Normal,None,None,None,None
No Control,Clear,"Dark, artificial",Wet,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,"Dark, artificial",Wet,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,"Dark, artificial",Wet,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Minor,Normal,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Minor,None,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Minor,None,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,None,Yes,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minor,Unknown,Yes,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,Yes,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,Yes,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,"Dawn, artificial",Dry,Non-Fatal Injury,None,Unknown,None,Yes,None,None
Traffic Signal,Clear,"Dawn, artificial",Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Inattentive,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,Normal,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Major,Inattentive,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Unknown,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Unknown,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,Yes,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Inattentive,None,None,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Minimal,Normal,None,None,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,None,None,None,None,None
Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Minor,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,Inattentive,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Minor,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,None,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Inattentive,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,None,Normal,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,Unknown,Yes,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,Yes,Yes,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Unknown,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,None,None,None,None,None
No Control,Clear,Daylight,Dry,Non-Fatal Injury,Major,Medical or Physical Disability,None,None,None,Yes
No Control,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,None,None,None,Yes
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Minimal,Inattentive,None,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,None,Yes,None,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Minimal,"Ability Impaired, Alcohol Over .08",None,Yes,Yes,None
No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Major,None,None,Yes,Yes,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,None,Normal,Yes,Yes,None,None
Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Major,Normal,Yes,Yes,None,None
No Control,Clear,"Daylight, artificial",Wet,Non-Fatal Injury,None,Inattentive,None,None,None,None
No Control,Clear,"Daylight, artificial",Wet,Non-Fatal Injury,Major,Normal,None,None,None,None
No Control,Clear,"Daylight, artificial",Wet,Non-Fatal Injury,None,Normal,None,None,None,None
